Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,Website
KLM,07:00,09:10,27h 10m,$352.50,1 stop,['22h 10m'],NaN,NaN,Booking
Air Baltic,05:25,13:15,8h 50m,$740.75,2 stops,['2h 40m'],['CPH'],['Copenhagen Apt'],Booking
"Finnair, operated by Iberia For Finnair",16:40,23:59,8h 19m,$860.23,1 stop,['2h 35m'],['MAD'],['Madrid Barajas Apt'],Booking
Air France,06:20,23:05,17h 45m,$442.29,2 stops,['22h 10m'],NaN,NaN,Booking
"SAS, operated by City Jet",11:15,19:20,9h 05m,$731.41,2 stops,['2h 55m'],"['CPH', 'ZRH']","['Copenhagen Apt', 'Zurich Airport']",Booking
KLM,07:00,19:30,13h 30m,$544.60,2 stops,"['1h 45m', '6h 10m']",['BCN'],['Barcelona Apt'],Booking
Lufthansa,06:40,20:15,14h 35m,$516.61,2 stops,"['1h 00m', '7h 55m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
Lufthansa,06:40,20:15,14h 35m,$516.61,2 stops,"['2h 00m', '6h 55m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
Lufthansa,06:40,20:15,14h 35m,$516.61,2 stops,"['4h 00m', '4h 55m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
Lufthansa,06:40,20:15,14h 35m,$516.61,2 stops,"['2h 00m', '6h 55m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
Lufthansa,06:40,20:15,14h 35m,$516.61,2 stops,['8h 00m'],"['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
"SAS, operated by Regional Jet",11:25,09:50,23h 25m,$411.89,1 stop,['18h 25m'],['ARN'],['Stockholm Arlanda Apt'],Booking
KLM,18:10,12:40,19h 30m,$428.60,2 stops,"['12h 40m', '1h 30m']",['BCN'],['Barcelona Apt'],Booking
KLM,07:00,22:45,16h 45m,$480.60,2 stops,"['5h 45m', '5h 30m']",['BCN'],['Barcelona Apt'],Booking
"Lufthansa, operated by Lufth Cityline",06:10,18:20,13h 10m,$576.26,2 stops,"['12h 40m', '1h 30m']",['BCN'],['Barcelona Apt'],Booking
"Air Europa, operated by KLM",13:55,09:40,20h 45m,$410.10,2 stops,"['3h 35m', '10h 40m']",['MAD'],['Madrid Barajas Apt'],Booking
Lufthansa,19:40,15:15,20h 35m,$414.50,2 stops,"['9h 45m', '5h 00m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
Lufthansa,19:40,15:15,20h 35m,$414.50,2 stops,"['10h 45m', '4h 00m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
Lufthansa,19:40,15:15,20h 35m,$414.50,2 stops,"['3h 35m', '10h 40m']",['MAD'],['Madrid Barajas Apt'],Booking
"Austrian Airlines, operated by Lufthansa",13:40,08:50,20h 10m,$422.64,2 stops,"['9h 45m', '5h 00m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
"Austrian Airlines, operated by Lufthansa",13:40,08:50,20h 10m,$422.64,2 stops,"['10h 45m', '4h 00m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
"Austrian Airlines, operated by Lufthansa",13:40,08:50,20h 10m,$422.64,2 stops,"['4h 15m', '9h 30m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",13:40,08:50,20h 10m,$422.64,2 stops,"['6h 35m', '7h 15m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",13:40,08:50,20h 10m,$422.64,2 stops,"['2h 55m', '10h 50m']",['FRA'],['Frankfurt International Apt'],Booking
"Lufthansa, operated by Lufthansa Cityline Gmbh",06:10,15:15,10h 05m,$713.17,2 stops,"['3h 15m', '1h 05m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
"SAS, operated by City Jet",11:15,20:40,10h 25m,$696.73,2 stops,"['2h 20m', '2h 20m']","['CPH', 'GOT']","['Copenhagen Apt', 'Gothenburg Landvetter.Apt']",Booking
KLM,18:10,12:40,19h 30m,$435.70,2 stops,['13h 10m'],['BCN'],['Barcelona Apt'],Booking
KLM,07:00,23:05,17h 05m,$481.30,2 stops,"['2h 20m', '2h 20m']","['CPH', 'GOT']","['Copenhagen Apt', 'Gothenburg Landvetter.Apt']",Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",12:50,08:50,21h 00m,$415.15,2 stops,"['5h 00m', '9h 55m']",['MUC'],['Munich International Airport'],Booking
"Lufthansa, operated by Jettime A/S For Scandinavian Airlines",07:00,20:15,14h 15m,$565.29,2 stops,"['5h 10m', '3h 40m']","['CPH', 'MUC']","['Copenhagen Apt', 'Munich International Airport']",Booking
"Air Europa, operated by Klm",07:00,20:20,14h 20m,$564.80,2 stops,['6h 55m'],['MAD'],['Madrid Barajas Apt'],Booking
"Air Europa, operated by Klm",07:00,20:20,14h 20m,$564.80,2 stops,"['2h 25m', '5h 20m']",['MAD'],['Madrid Barajas Apt'],Booking
Lufthansa,13:40,17:10,28h 30m,$381.16,1 stop,"['5h 10m', '3h 40m']","['CPH', 'MUC']","['Copenhagen Apt', 'Munich International Airport']",Booking
"British Airways, operated by Finnair",08:00,17:05,10h 05m,$754.45,2 stops,"['1h 40m', '1h 25m']","['LHR', 'MAD']","['London Heathrow Apt', 'Madrid Barajas Apt']",Booking
Lufthansa,19:40,17:10,22h 30m,$414.50,2 stops,"['9h 45m', '6h 55m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
"Air Europa, operated by KLM",13:55,11:35,22h 40m,$417.50,2 stops,"['3h 35m', '12h 35m']",['MAD'],['Madrid Barajas Apt'],Booking
"Finnair, operated by Iberia For Finnair",16:40,14:30,22h 50m,$469.40,1 stop,['17h 00m'],['MAD'],['Madrid Barajas Apt'],Booking
"British Airways, operated by Finnair",16:00,19:40,28h 40m,$397.35,1 stop,['23h 10m'],"['LHR', 'LGW']","['London Heathrow Apt', 'London Gatwick Apt']",Booking
Lufthansa,13:40,15:15,26h 35m,$424.05,1 stop,['21h 50m'],['FRA'],['Frankfurt International Apt'],Booking
KLM,18:10,16:15,23h 05m,$428.60,2 stops,"['12h 40m', '5h 05m']",['BCN'],['Barcelona Apt'],Booking
KLM,18:10,16:15,23h 05m,$428.60,2 stops,['23h 10m'],"['LHR', 'LGW']","['London Heathrow Apt', 'London Gatwick Apt']",Booking
"SAS, operated by City Jet",11:15,22:45,12h 30m,$680.97,2 stops,"['4h 25m', '2h 50m']","['CPH', 'BCN']","['Copenhagen Apt', 'Barcelona Apt']",Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",06:10,17:30,36h 20m,$308.50,2 stops,"['13h 50m', '16h 20m']",['MUC'],['Munich International Airport'],Booking
"Lufthansa, operated by Xfly For Scandinavian Airlines",17:30,10:55,18h 25m,$513.72,2 stops,"['1h 20m', '11h 40m']","['ARN', 'FRA']","['Stockholm Arlanda Apt', 'Frankfurt International Apt']",Booking
KLM,07:00,23:05,17h 05m,$545.30,2 stops,"['14h 25m', '3h 15m']",['BCN'],['Barcelona Apt'],Booking
KLM,18:10,16:15,23h 05m,$435.70,2 stops,['16h 45m'],['BCN'],['Barcelona Apt'],Booking
"Lufthansa, operated by Lufth Cityline",12:50,09:15,21h 25m,$465.34,2 stops,"['1h 20m', '11h 40m']","['ARN', 'FRA']","['Stockholm Arlanda Apt', 'Frankfurt International Apt']",Booking
"Lufthansa, operated by Lufth Cityline",12:50,09:15,21h 25m,$465.34,2 stops,"['6h 35m', '9h 05m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
Lufthansa,18:10,17:10,24h 00m,$475.43,1 stop,['16h 45m'],['BCN'],['Barcelona Apt'],Booking
KLM,13:55,12:40,23h 45m,$435.70,2 stops,"['4h 35m', '11h 05m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
Lufthansa,06:40,12:40,7h 00m,"$1,212.12",1 stop,['2h 15m'],['FRA'],['Frankfurt International Apt'],Booking
"Lufthansa, operated by Jettime A/S",07:00,15:15,9h 15m,$892.89,2 stops,"['5h 10m', '13h 10m']",['BCN'],['Barcelona Apt'],Booking
"Air Europa, operated by Klm",07:00,23:05,17h 05m,$564.80,2 stops,"['2h 25m', '8h 05m']",['MAD'],['Madrid Barajas Apt'],Booking
"Air Europa, operated by Klm",07:00,23:05,17h 05m,$564.80,2 stops,['9h 40m'],['MAD'],['Madrid Barajas Apt'],Booking
Air France,06:20,18:25,13h 05m,$690.29,2 stops,['5h 40m'],"['CDG', 'MAD']","['Paris Charles De Gaulle Apt', 'Madrid Barajas Apt']",Booking
"Lufthansa, operated by Lufth Cityline",12:50,09:15,21h 25m,$478.83,2 stops,"['3h 35m', '12h 05m']","['MUC', 'FRA']","['Munich International Airport', 'Frankfurt International Apt']",Booking
"Brussels Airlines, operated by Lufthansa",06:40,17:10,11h 30m,$764.10,2 stops,"['4h 45m', '1h 05m']","['FRA', 'BRU']","['Frankfurt International Apt', 'Brussels National Airport']",Booking
"Swiss, operated by Regional Jet For Sas Scandinavian Airlines",11:25,18:55,8h 30m,$962.19,2 stops,"['1h 30m', '1h 20m']","['ARN', 'ZRH']","['Stockholm Arlanda Apt', 'Zurich Airport']",Booking
"SAS, operated by Jettime A/S",07:00,15:15,9h 15m,$913.46,2 stops,"['4h 45m', '1h 05m']","['FRA', 'BRU']","['Frankfurt International Apt', 'Brussels National Airport']",Booking
"Air Europa, operated by KLM",13:55,15:55,27h 00m,$410.10,2 stops,"['16h 15m', '4h 20m']",['MAD'],['Madrid Barajas Apt'],Booking
"Air Europa, operated by KLM",13:55,15:55,27h 00m,$410.10,2 stops,"['18h 20m', '2h 20m']",['MAD'],['Madrid Barajas Apt'],Booking
Lufthansa,18:10,15:15,22h 05m,$535.89,1 stop,"['2h 05m', '1h 50m']","['CPH', 'FRA']","['Copenhagen Apt', 'Frankfurt International Apt']",Booking
"Air Europa, operated by KLM",13:55,15:55,27h 00m,$417.50,2 stops,"['18h 20m', '2h 20m']",['MAD'],['Madrid Barajas Apt'],Booking
"Swiss, operated by Regional Jet For Sas Scandinavian Airlines",11:25,19:20,8h 55m,$962.19,2 stops,"['1h 30m', '1h 40m']","['ARN', 'ZRH']","['Stockholm Arlanda Apt', 'Zurich Airport']",Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",06:10,08:50,27h 40m,$415.19,2 stops,"['3h 35m', '16h 55m']",['MAD'],['Madrid Barajas Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['1h 30m', '1h 40m']","['ARN', 'ZRH']","['Stockholm Arlanda Apt', 'Zurich Airport']",Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['11h 40m', '9h 55m']",['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['9h 55m', '10h 50m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['9h 05m', '11h 35m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['1h 05m', '19h 40m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['9h 55m', '10h 50m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['4h 35m', '16h 10m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['8h 00m', '12h 45m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$422.68,2 stops,"['4h 35m', '16h 10m']",['FRA'],['Frankfurt International Apt'],Booking
Lufthansa,18:10,10:55,17h 45m,$584.08,2 stops,"['1h 30m', '10h 35m']","['FRA', 'MUC']","['Frankfurt International Apt', 'Munich International Airport']",Booking
"British Airways, operated by Finnair",16:00,18:55,27h 55m,$465.74,1 stop,['22h 30m'],"['LHR', 'LCY']","['London Heathrow Apt', 'London City Apt']",Booking
"Austrian Airlines, operated by Lufthansa",06:40,08:50,27h 10m,$436.15,2 stops,"['11h 15m', '9h 30m']",['FRA'],['Frankfurt International Apt'],Booking
"Air Europa, operated by KLM",13:55,18:25,29h 30m,$410.10,2 stops,"['16h 15m', '6h 50m']",['MAD'],['Madrid Barajas Apt'],Booking
"Air Europa, operated by KLM",13:55,18:25,29h 30m,$410.10,2 stops,"['18h 20m', '4h 50m']",['MAD'],['Madrid Barajas Apt'],Booking
"Air Europa, operated by KLM",13:55,18:25,29h 30m,$410.10,2 stops,"['19h 35m', '3h 25m']",['MAD'],['Madrid Barajas Apt'],Booking
"SAS, operated by Jettime A/S",07:00,20:40,14h 40m,$696.73,2 stops,"['16h 15m', '6h 50m']",['MAD'],['Madrid Barajas Apt'],Booking
"SAS, operated by Jettime A/S",07:00,20:40,14h 40m,$696.73,2 stops,['8h 20m'],"['CPH', 'GOT']","['Copenhagen Apt', 'Gothenburg Landvetter.Apt']",Booking
"Lufthansa, operated by Lufth Cityline",12:50,19:55,8h 05m,"$1,204.32",1 stop,['3h 20m'],['MUC'],['Munich International Airport'],Booking
"SAS, operated by Regional Jet",17:30,07:20,14h 50m,$695.17,2 stops,"['1h 20m', '8h 10m']","['ARN', 'FRA']","['Stockholm Arlanda Apt', 'Frankfurt International Apt']",Booking
"Austrian Airlines, operated by Lufthansa",13:40,17:30,28h 50m,$422.68,2 stops,"['2h 05m', '20h 10m']",['FRA'],['Frankfurt International Apt'],Booking
"Austrian Airlines, operated by Lufthansa",13:40,17:30,28h 50m,$422.68,2 stops,"['6h 35m', '15h 50m']",['FRA'],['Frankfurt International Apt'],Booking
"SAS, operated by Jettime A/S",07:00,19:25,13h 25m,$750.37,2 stops,"['4h 05m', '2h 55m']","['CPH', 'OSL']","['Copenhagen Apt', 'Oslo Airport']",Booking
Air France,06:20,20:20,15h 00m,$690.29,2 stops,['7h 35m'],"['CDG', 'MAD']","['Paris Charles De Gaulle Apt', 'Madrid Barajas Apt']",Booking
"SAS, operated by Jettime A/S",07:00,18:45,12h 45m,$780.17,2 stops,"['2h 05m', '20h 10m']",['FRA'],['Frankfurt International Apt'],Booking
"SAS, operated by Jettime A/S",07:00,18:45,12h 45m,$780.17,2 stops,"['4h 05m', '2h 05m']","['CPH', 'ARN']","['Copenhagen Apt', 'Stockholm Arlanda Apt']",Booking
"Air Europa, operated by KLM",13:55,18:25,29h 30m,$417.50,2 stops,"['3h 35m', '19h 25m']",['MAD'],['Madrid Barajas Apt'],Booking
"Lufthansa, operated by Lufth Cityline",12:50,20:00,8h 10m,"$1,222.61",1 stop,['3h 20m'],['MUC'],['Munich International Airport'],Booking
"British Airways, operated by Finnair",08:00,20:55,13h 55m,$754.45,2 stops,"['1h 20m', '4h 55m']","['CPH', 'ARN']","['Copenhagen Apt', 'Stockholm Arlanda Apt']",Booking
"Air Europa, operated by KLM",13:55,20:20,31h 25m,$413.80,2 stops,"['3h 35m', '19h 25m']",['MAD'],['Madrid Barajas Apt'],Booking
"Austrian Airlines, operated by Lufthansa",13:40,17:30,28h 50m,$442.69,2 stops,"['18h 05m', '4h 20m']",['FRA'],['Frankfurt International Apt'],Booking
