Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
"Finnair, easyJet",8:10 am , 4:30 pm,9h 20m,$231,2 stops,"2h 10m, 1h 20m","AMS, NCE","Amsterdam Schiphol, Nice Côte d'Azur",Kayak
"Finnair, easyJet",8:10 am , 4:30 pm,9h 20m,$235,2 stops,"1h 05m, 2h 25m","AMS, NCE","Amsterdam Schiphol, Nice Côte d'Azur",Kayak
"airBaltic, Wizz Air",9:00 am , 7:05 pm,11h 05m,$215,2 stops,"4h 05m, 1h 20m","RIX, WAW","Riga Intl, Warsaw Frederic Chopin",Kayak
"Finnair, Norwegian",7:25 am , 5:50 pm,11h 25m,$205,2 stops,"1h 00m, 4h 35m","OSL, BGO","Oslo Gardermoen, Bergen Flesland",Kayak
"Ryanair, easyJet",10:50 pm ," 11:15 am
+1",14h 25m,$103,1 stop,9h 10m,STN-LGW,Airport change STN-LGW,Kayak
Lufthansa,12:50 pm , 8:15 pm,8h 25m,$334,1 stop,3h 40m,MUC,Munich Franz Josef Strauss,Kayak
"Finnair, Vueling",8:10 am , 6:05 pm,10h 55m,$228,2 stops,"3h 35m, 1h 30m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Kayak
airBaltic,9:20 pm ," 9:50 am
+1",14h 30m,$144,1 stop,9h 40m,RIX,Riga Intl,Kayak
"Scandinavian Airlines, Norwegian",7:00 am , 6:30 pm,12h 30m,$186,2 stops,"4h 05m, 2h 05m","CPH, OSL","Kastrup Copenhagen, Oslo Gardermoen",Kayak
"Finnair, Eurowings",11:25 am , 6:05 pm,7h 40m,$351,1 stop,3h 00m,BER,Berlin Brandenburg,Kayak
"Scandinavian Airlines, Wizz Air",7:00 am , 7:05 pm,13h 05m,$173,2 stops,"4h 05m, 2h 40m","CPH, WAW","Kastrup Copenhagen, Warsaw Frederic Chopin",Kayak
"Ryanair, Austrian Airlines",9:05 pm ," 8:50 am
+1",13h 45m,$144,1 stop,9h 00m,VIE,Vienna Intl,Kayak
Austrian Airlines,7:00 am , 5:05 pm,11h 05m,$290,2 stops,"2h 10m, 3h 10m","CPH, VIE","Kastrup Copenhagen, Vienna Intl",Kayak
"Norwegian, Vueling",12:25 pm , 9:55 pm,10h 30m,$274,1 stop,5h 05m,ALC,Alicante,Kayak
Scandinavian Airlines,11:25 am , 6:45 pm,8h 20m,$390,1 stop,3h 20m,ARN,Stockholm Arlanda,Kayak
"airBaltic, Norwegian",5:25 am , 6:30 pm,14h 05m,$136,2 stops,"0h 35m, 7h 20m","RIX, OSL","Riga Intl, Oslo Gardermoen",Kayak
"Finnair, Ryanair",7:25 am , 10:05 pm,15h 40m,$127,1 stop,10h 50m,OSL-TRF,Airport change OSL-TRF,Kayak
"airBaltic, easyJet",5:25 am , 5:35 pm,13h 10m,$174,2 stops,"0h 50m, 6h 05m","RIX, LGW","Riga Intl, London Gatwick",Kayak
"airBaltic, Scandinavian Airlines",5:25 am , 1:15 pm,8h 50m,$281,2 stops,"0h 40m, 2h 40m","RIX, CPH","Riga Intl, Kastrup Copenhagen",Kayak
KLM,1:55 pm , 10:45 pm,9h 50m,$329,2 stops,"1h 20m, 3h 10m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Kayak
Lufthansa,6:10 am , 1:00 pm,7h 50m,$405,1 stop,3h 05m,MUC,Munich Franz Josef Strauss,Kayak
"Ryanair, easyJet",10:50 pm ," 12:35 pm
+1",15h 45m,$120,1 stop,10h 35m,STN-LGW,Airport change STN-LGW,Kayak
"Finnair, Ryanair",7:10 am , 10:05 pm,15h 55m,$144,2 stops,"1h 55m, 7h 20m","BGO, TRF","Bergen Flesland, Oslo Sandefjord",Kayak
"Lufthansa, Eurowings",7:40 pm ," 4:00 am
+1",10h 20m,$325,2 stops,"1h 10m, 4h 05m","MUC, FMO","Munich Franz Josef Strauss, Muenster",Kayak
"Ryanair, Vueling",10:50 pm ," 1:55 pm
+1",17h 05m,$114,2 stops,"8h 45m, 2h 15m","STN, BCN","London Stansted, Barcelona-El Prat",Kayak
Lufthansa,6:40 am , 6:20 pm,12h 40m,$309,1 stop,8h 00m,FRA,Frankfurt am Main,Kayak
British Airways,8:00 am , 9:20 pm,14h 20m,$290,1 stop,8h 15m,LHR-LGW,Airport change LHR-LGW,Kayak
"airBaltic, Ryanair",5:25 am , 10:05 pm,17h 40m,$103,2 stops,"0h 35m, 11h 05m","RIX, OSL-TRF","Riga Intl, Airport change OSL-TRF",Kayak
Lufthansa,1:40 pm , 8:15 pm,7h 35m,$469,2 stops,"1h 00m, 0h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Kayak
"Lufthansa, Discover Airlines",6:40 am , 6:20 pm,12h 40m,$309,1 stop,NAN,"FRA, MUC",Frankfurt am Main,Kayak
Ryanair,11:20 pm ," 2:25 pm
+1",17h 05m,$145,2 stops,"6h 55m, 3h 10m","WMI, MAD","Warsaw Modlin, Madrid Barajas",Kayak
KLM,1:55 pm , 11:05 pm,10h 10m,$408,2 stops,"1h 30m, 2h 15m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
Austrian Airlines,6:40 am , 5:05 pm,11h 25m,$374,2 stops,"3h 30m, 1h 30m","FRA, VIE","Frankfurt am Main, Vienna Intl",Kayak
Austrian Airlines,6:40 am , 5:05 pm,11h 25m,$374,2 stops,"1h 05m, 3h 55m","FRA, VIE","Frankfurt am Main, Vienna Intl",Kayak
Austrian Airlines,6:40 am , 5:05 pm,11h 25m,$374,2 stops,"1h 55m, 3h 00m","FRA, VIE","Frankfurt am Main, Vienna Intl",Kayak
"Finnair, Vueling",5:55 pm ," 8:05 am
+1",16h 10m,$212,2 stops,"1h 20m, 8h 45m","CPH, ALC","Kastrup Copenhagen, Alicante",Kayak
Multiple airlines,10:10 pm ," 9:25 am
+1",13h 15m,$280,2 stops,"4h 50m, 1h 20m","AGP, BCN","Malaga, Barcelona-El Prat",Kayak
Lufthansa,6:10 am , 8:15 pm,15h 05m,$302,1 stop,10h 20m,MUC,Munich Franz Josef Strauss,Kayak
Austrian Airlines,5:30 pm ," 8:50 am
+1",17h 20m,$226,2 stops,"2h 25m, 9h 15m","ARN, VIE","Stockholm Arlanda, Vienna Intl",Kayak
"Lufthansa, Condor",7:40 pm ," 8:05 am
+1",14h 25m,$256,1 stop,9h 35m,MUC,Munich Franz Josef Strauss,Kayak
Multiple airlines,5:55 pm ," 7:05 am
+1",15h 10m,$254,2 stops,"2h 55m, 6h 40m","CPH, BCN","Kastrup Copenhagen, Barcelona-El Prat",Kayak
Lufthansa,11:25 am , 6:20 pm,7h 55m,$536,2 stops,"1h 30m, 0h 50m","ARN, FRA","Stockholm Arlanda, Frankfurt am Main",Kayak
"Finnair, Ryanair",5:35 pm ," 8:05 am
+1",16h 30m,$222,2 stops,"2h 30m, 7h 00m","PRG, SVQ","Václav Havel Prague, Sevilla",Kayak
